column,n_missing
timestamp,1337
vehicle_gps_latitude,0
vehicle_gps_longitude,0
fuel_consumption_rate,0
eta_variation_hours,0
traffic_congestion_level,0
warehouse_inventory_level,0
loading_unloading_time,0
handling_equipment_availability,0
order_fulfillment_status,0
weather_condition_severity,0
port_congestion_level,0
shipping_costs,0
supplier_reliability_score,0
lead_time_days,0
historical_demand,0
iot_temperature,0
cargo_condition_status,0
route_risk_level,0
customs_clearance_time,0
driver_behavior_score,0
fatigue_monitoring_score,0
disruption_likelihood_score,0
delay_probability,0
risk_classification,0
delivery_time_deviation,0
